value_id;source_product_code;source_service_code;source_service_char_code;source_field_number;source_column;target_attribute_path;default_value;value_type;apply_method;target_multiple_occurrence;rds_id;valid_from;valid_until;parent_service_code;som_attribute_path;prefix;dependent_char_code;main_bundle_access;sid_attribute_path;open_order_indicator;fixed_value;introduction_version;
BKSGC_0001;V0002;V0003;V0132;;;Sprache.Anschluss.AnzahlAlterAnschluesse;;CONFIGURED_VALUE;convertToInteger;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0002;V0002;V0010;V0132;;;Sprache.Anschluss.AnzahlAlterAnschluesse;;CONFIGURED_VALUE;convertToInteger;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0003;V0002;V0011;V0132;;;Sprache.Anschluss.AnzahlAlterAnschluesse;;CONFIGURED_VALUE;convertToInteger;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0004;V0002;V0003;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0005;V0002;V0010;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0006;V0002;V0011;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0007;VI202;VI002;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0008;VI202;VI003;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0009;VI203;VI006;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
BKSGC_0010;VI203;VI009;V0127;;;Lokation.Anschlussinhaber.Name;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;;;;;;;;;
